,Theoretical eigenenergies,Numerical eigenenergies,$\Delta E=|E_{th}-E_{num}|$
0,-2.498736171381915394,-2.4987361713819154,0.0
1,-2.4949461554793539442,-2.494946155479353,8.8817841970012523234e-16
2,-2.4886343622076316784,-2.488634362207631,8.8817841970012523234e-16
3,-2.4798081416614166095,-2.4798081416614157,8.8817841970012523234e-16
4,-2.468477784592102875,-2.468477784592103,0.0
5,-2.454656523327919171,-2.4546565233279183,8.8817841970012523234e-16
6,-2.4383605333990194808,-2.438360533399019,4.4408920985006261617e-16
7,-2.4196089362204782347,-2.4196089362204787,4.4408920985006261617e-16
8,-2.3984238032895364157,-2.3984238032895373,8.8817841970012523234e-16
9,-2.3748301624740828508,-2.3748301624740815,1.3322676295501878485e-15
10,-2.34885600711228415,-2.3488560071122837,4.4408920985006261617e-16
11,-2.320532308815132172,-2.32053230881513,2.2204460492503130808e-15
12,-2.2898930350725410499,-2.2898930350725437,2.664535259100375697e-15
13,-2.2569751730205966922,-2.2569751730205927,3.9968028886505635455e-15
14,-2.2218187610456507919,-2.221818761045648,2.664535259100375697e-15
15,-2.184466930299409082,-2.1844669302994104,1.3322676295501878485e-15
16,-2.144965958700170816,-2.144965958700173,2.2204460492503130808e-15
17,-2.1033653406321404233,-2.103365340632139,1.3322676295501878485e-15
18,-2.0597178763681807112,-2.0597178763681807,0.0
19,-2.0140797862890629233,-2.014079786289062,8.8817841970012523234e-16
20,-1.9665108563309308121,-1.9665108563309297,1.1102230246251565404e-15
21,-1.917074622868377265,-1.917074622868377,2.2204460492503130808e-16
22,-1.865838607578213626,-1.8658386075782123,1.3322676295501878485e-15
23,-1.8128746159313595676,-1.812874615931358,1.5543122344752191566e-15
24,-1.7582591171106343175,-1.7582591171106292,5.107025913275720086e-15
25,-1.702073728750890913,-1.7020737287508925,1.5543122344752191566e-15
26,-1.6444058375158707719,-1.644405837515865,5.7731597280508140102e-15
27,-1.5853493969821614851,-1.585349396982162,4.4408920985006261617e-16
28,-1.5250059587827382579,-1.5250059587827345,3.7747582837255322374e-15
29,-1.4634860131989992915,-1.463486013199002,2.664535259100375697e-15
30,-1.4009107439230275016,-1.4009107439230215,5.9952043329758453183e-15
31,-1.3374143422799713576,-1.3374143422799716,2.2204460492503130808e-16
32,-1.2731470843283401173,-1.2731470843283386,1.5543122344752191566e-15
33,-1.2082794580542477458,-1.2082794580542429,4.884981308350688778e-15
34,-1.1430077491149703839,-1.1430077491149762,5.7731597280508140102e-15
35,-1.0775616688224742834,-1.0775616688224752,8.8817841970012523234e-16
36,-1.0122148590866713036,-1.0122148590866704,8.8817841970012523234e-16
